tool	size	%involved	duplicates	totaltime	time-first	n# of results
rmlmapper	10k_rows	40	10	40.94699695	40.94699695	20440
rmlmapper	10k_rows	40	20	39.62249937	39.62249937	20210
rmlmapper	10k_rows	50	3	41.60405654	41.60405654	22222
rmlmapper	10k_rows	50	5	42.53156779	42.53156779	21200
rmlmapper	10k_rows	50	10	40.6479102	40.6479102	20550
rmlmapper	10k_rows	50	20	42.64606605	42.64606605	20263
rmlmapper	50k_rows	5	3	1160.828839	1160.828839	101111
rmlmapper	50k_rows	5	5	1097.765797	1097.765797	100600
rmlmapper	50k_rows	5	10	1109.450027	1109.450027	100275
rmlmapper	50k_rows	5	20	1141.636497	1141.636497	100132
rmlmapper	50k_rows	10	3	1065.585309	1065.585309	102222
rmlmapper	50k_rows	10	5	1143.836642	1143.836642	101200
rmlmapper	50k_rows	10	10	1191.583365	1191.583365	100550
rmlmapper	50k_rows	10	20	1141.462123	1141.462123	100263
rmlmapper	50k_rows	20	3	1125.487909	1125.487909	104445
rmlmapper	50k_rows	20	5	1145.104445	1145.104445	102400
rmlmapper	50k_rows	20	10	1152.947959	1152.947959	101100
rmlmapper	50k_rows	20	20	1157.839944	1157.839944	100525
rmlmapper	50k_rows	30	3	1204.928925	1204.928925	106667
rmlmapper	50k_rows	30	5	1250.988164	1250.988164	103600
rmlmapper	50k_rows	30	10	1163.178018	1163.178018	101650
rmlmapper	50k_rows	30	20	1175.507305	1175.507305	100788
rmlmapper	50k_rows	40	3	1214.344327	1214.344327	108889
rmlmapper	50k_rows	40	5	1240.30818	1240.30818	104800
rmlmapper	50k_rows	40	10	1199.465274	1199.465274	102200
rmlmapper	50k_rows	40	20	1192.900391	1192.900391	101050
rmlmapper	50k_rows	50	3	1301.454399	1301.454399	111111
rmlmapper	50k_rows	50	5	1263.716438	1263.716438	106000
rmlmapper	50k_rows	50	10	1230.778121	1230.778121	102750
rmlmapper	50k_rows	50	20	1175.099373	1175.099373	101313
